0.0 1.0 1.0
1.4 2.5 2.5
0.0	400.0	0.0	0.0	0.0
5.0	203.0	0.0	0.0	0.0
5.05	201.5	1.5	0.0	90.0
6.0	201.5	50.0	0.0	90.0
6.05	203	50.0	0.0	0.0
10.0	362.1	50.0	0.0	0.0
10.05	362.1	51.5	0.0	90.0
11.0	362.1	100.0	0.0	90.0
11.05	360.6	100.0	0.0	180.0
12.0	203.0	100.0	0.0	180.0
12.05	203.0	101.5	0.0	90.0
12.70	203.0	133.5	0.0	90.0
12.75	201.5	133.5	0.0	180.0
13.0	183.5	133.5	0.0	180.0
13.84	160.7	133.5	0.0	180.0
14.04	140.7	138.33	0.0	135.49
14.24	125.7	150.33	0.0	129.9
14.44	115.7	175.33	0.0	123.42
14.64	112.2	191.16	0.0	90.0
14.74	112.2	195.1	0.0	90.0
15.54	112.2	251.1	0.0	90.0
15.59	113.7	249.6	0.0	0.0
18.09	253.5	249.6	0.0	0.0
18.39	273.5	244.77	0.0	-44.51
18.69	288.5	232.77	0.0	-50.1
18.99	298.5	207.77	0.0	-56.58
19.29	302	191.94	0.0	-90
19.49	302	190.94	0.0	-90
19.79	297.17	170.94	0.0	-134.51
20.09	285.17	155.94	0.0	-140.1
20.13	282.17	153.94	0.0	-141.1
20.19	279.17	151.94	0.6	-142.8
20.25	275.17	149.94	1.3	-144.3
20.32	272.17	147.94	1.5	-145.2
20.39	270.17	145.94	1.3	-146.58
20.49	265.17	143.94	0.6	-158.58
20.59	260.17	142.94	0.0	-170.58
20.69	254.34	142.44	0.0	-180
21.04	234.34	137.61	0.0	-180
21.39	219.34	125.61	0.0	-180
21.74	215.34	116.61	0.0	-180
