1.0 0.0 0.0
2.5 1.4 1.4
0.0	0.0	0.0	0.0	0.0
5.0	197.0	0.0	0.0	0.0
5.05	197.0	1.5	0.0	90.0
6.0	197.0	50.0	0.0	90.0
6.05	195.5	50.0	0.0	180.0
10.0	39.4	50.0	0.0	180.0
10.05	39.4	51.5	0.0	90.0
11.0	39.4	100.0	0.0	90.0
11.05	40.9	100.0	0.0	0.0
12.0	197.0	100.0	0.0	0.0
12.5	197.0	101.5	0.0	90.0
13.0	197.0	130.0	0.0	90.0
13.05	197.0	131.0	0.3	90.0
13.1	197.0	132.0	0.6	90.0
13.15	197.0	133.0	0.9	90.0
13.2	197.0	134.0	0.12	90.0
13.25	197.0	135.0	0.15	90.0
13.3	197.0	136.0	0.12	90.0
13.35	197.0	137.0	0.9	90.0
13.4	197.0	138.0	0.6	90.0
13.45	197.0	139.0	0.3	90.0
13.50	197.0	140.0	0.0	90.0
13.80	197.0	143.6	0.0	90.0
13.85	195.5	143.6	0.0	122.7
14.30	118.2	193.6	0.0	122.7
14.35	118.2	195.1	0.0	90.0
15.0	118.2	245.1	0.0	90.0
15.25	119.45	246.35	0.0	57.5
15.5	120.7	247.6	0.0	25.0
15.75	121.95	248.85	0.0	-7.5
16	123.2	250.1	0.0	-40
16.5	202.0	200.1	0.0	-32.7
16.55	203.5	200.1	0.0	0.0
18.55	275.8	200.1	0.0	0.0
